area_type,availability,location,size,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,NRI Layout,2 Bedroom,1250,2.0,0.0,75.0
Built-up  Area,Ready To Move,Hennur,4 BHK,2502,4.0,2.0,170.0
Super built-up  Area,Ready To Move,Sadaramangala,2 BHK,1394,2.0,3.0,52.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2.0,2.0,46.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,1075,2.0,1.0,57.0
Plot  Area,Immediate Possession,Mysore Road,2 BHK,1200 - 2400,2.0,2.0,42.3
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,1500,3.0,3.0,120.0
Super built-up  Area,18-Oct,Rayasandra,4 BHK,1708,3.0,1.0,76.0
Built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,1800,4.0,3.0,115.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1532,2.0,1.0,65.0
Super built-up  Area,18-Sep,Hosa Road,3 BHK,1726,3.0,2.0,81.99
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,1220,2.0,2.0,54.89
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1530,3.0,3.0,40.0
Super built-up  Area,18-Jan,Hosa Road,2 BHK,840,2.0,1.0,28.0
Super built-up  Area,18-Apr,Bommanahalli,3 BHK,1250,4.0,3.0,39.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1030,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,1499,3.0,2.0,89.0
Super built-up  Area,Ready To Move,Varsova Layout,3 BHK,1280,2.0,3.0,55.0
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2.0,2.0,59.0
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,2646,3.0,2.0,99.0
Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,1161,2.0,3.0,36.69
Plot  Area,Ready To Move,Yelahanka,2 Bedroom,1633,2.0,1.0,72.0
Built-up  Area,Ready To Move,Richards Town,2 BHK,1050,2.0,2.0,65.0
Super built-up  Area,19-Dec,Varthur Road,1 BHK,540 - 565,1.0,0.0,13.26
Super built-up  Area,Ready To Move,Attibele,1 BHK,418,2.0,1.0,11.5
Super built-up  Area,Ready To Move,Bhattarahalli,2 BHK,905,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1510,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1390,2.0,3.0,60.47
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1101,2.0,2.0,66.0
Super built-up  Area,Ready To Move,Srirampura,4 BHK,2736,4.0,2.0,130.0
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2350,4.0,2.0,163.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,1056,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1425,2.0,2.0,49.88
Super built-up  Area,17-Jun,Electronics City Phase 1,3 BHK,1450,3.0,1.0,70.0
Built-up  Area,Ready To Move,Pai Layout,2 BHK,1000,2.0,2.0,34.0
Super built-up  Area,18-Mar,Haralur Road,1 BHK,575,1.0,1.0,38.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1350,2.0,2.0,47.24
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,2000,2.0,0.0,180.0
Built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,1770,3.0,2.0,90.0
Plot  Area,Ready To Move,Anandapura,2 Bedroom,616,3.0,1.0,45.0
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,745,1.0,0.0,34.27
Built-up  Area,Ready To Move,Nayandanahalli,7 Bedroom,6500,7.0,1.0,104.0
Super built-up  Area,18-Aug,Kudlu Gate,2 BHK,1547,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,1713,3.0,1.0,120.0
Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,1135,4.0,1.0,190.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1856,4.0,2.0,180.0
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,1152,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2.0,1.0,46.75
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,2357,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1820,4.0,2.0,95.0
Super built-up  Area,18-Dec,Kannamangala,3 BHK,1865,3.0,1.0,139.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1240,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,1360,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1450,2.0,2.0,63.51
Super built-up  Area,Ready To Move,Budigere,2 BHK,1139,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1565,2.0,2.0,56.0
Plot  Area,Ready To Move,Anjanapura,3 Bedroom,1200,3.0,2.0,165.0
Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,600,4.0,0.0,77.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,1200,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1855,3.0,3.0,140.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,1100,2.0,1.0,55.0
Built-up  Area,Ready To Move,Arehalli,3 BHK,1350,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2266,3.0,2.0,207.0
Super built-up  Area,Ready To Move,Hosur Road,1 BHK,660,1.0,1.0,23.0
Built-up  Area,Ready To Move,Kodihalli,2 BHK,1490,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1083,2.0,1.0,48.0
Super built-up  Area,18-Mar,Hennur Road,2 BHK,1232,2.0,1.0,83.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1550,3.0,1.0,86.8
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1227,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1059,2.0,2.0,68.0
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,545,1.0,1.0,29.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1152,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,870,1.0,1.0,45.0
Super built-up  Area,17-Dec,Panathur,2 BHK,1210,2.0,1.0,78.0
Super built-up  Area,19-Mar,Thanisandra,1 BHK,663,1.0,0.0,46.1
Super built-up  Area,Ready To Move,Hennur Gardens,3 BHK,1464,2.0,1.0,135.0
Built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,1365,3.0,1.0,80.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1704,3.0,1.0,120.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,1390 - 1600,2.0,2.0,60.55
Super built-up  Area,19-Oct,Whitefield,2 BHK,1256,2.0,2.0,73.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,883,2.0,0.0,49.0
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1080,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Marsur,2 BHK,497,1.0,1.0,25.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1073,2.0,1.0,52.36
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,1300,2.0,3.0,32.0
Built-up  Area,Ready To Move,Thanisandra,1 BHK,662,1.0,0.0,45.0
Super built-up  Area,18-Apr,Kumara Park,2 BHK,1200,2.0,2.0,75.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1550,3.0,3.0,75.0
Super built-up  Area,Ready To Move,7th Block Jayanagar,3 BHK,1707,3.0,2.0,171.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1310,2.0,2.0,80.43
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1577,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kodigehaali,3 BHK,1324,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1786,2.0,2.0,106.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1174,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kamala Nagar,1 BHK,565,1.0,1.0,33.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2.0,1.0,95.0
Built-up  Area,Ready To Move,Electronic City,1 BHK,635,1.0,1.0,28.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1368,2.0,1.0,54.71
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,3.0,3.0,55.0
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1045,2.0,2.0,48.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2.0,1.0,65.4
Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,1125,2.0,1.0,54.0
Super built-up  Area,18-Jul,Whitefield,2 BHK,1195,2.0,1.0,62.38
Plot  Area,Ready To Move,Ramakrishnappa Layout,1 Bedroom,630,2.0,1.0,70.0
Plot  Area,Ready To Move,Kaggadasapura,3 Bedroom,1350,2.0,0.0,105.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1740,3.0,0.0,120.0
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,877,2.0,1.0,29.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,1770,4.0,1.0,68.0
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,450,1.0,1.0,15.0
Plot  Area,18-Apr,tc.palya,2 Bedroom,1000,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1300,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1300,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,985,2.0,1.0,40.39
Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,1045,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Chelekare,2 BHK,1250,2.0,1.0,62.4
Plot  Area,Ready To Move,Bande Nallasandra,3 Bedroom,2400,4.0,1.0,130.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1420,3.0,3.0,68.0
Built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1720,3.0,3.0,83.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530,2.0,2.0,74.4
Plot  Area,Ready To Move,Anandapura,3 Bedroom,1200,2.0,0.0,66.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1570,3.0,3.0,88.0
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,1157,2.0,1.0,74.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,535,1.0,1.0,20.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1120,2.0,2.0,39.2
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,1150,2.0,2.0,60.0
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,2400,5.0,2.0,200.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1215,2.0,1.0,68.0
Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,1444,2.0,1.0,75.97
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2003,3.0,3.0,200.0
Carpet  Area,Ready To Move,Thirumenahalli,2 BHK,1100,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,900,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,1372,2.0,1.0,43.9
Plot  Area,16-Dec,Chikka Tirupathi,4 Bedroom,4500,5.0,3.0,150.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,2.0,1.0,55.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1096,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2504,3.0,3.0,138.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2.0,2.0,47.25
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,420,1.0,1.0,23.5
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1832,3.0,1.0,116.0
Plot  Area,Ready To Move,Anandapura,6 Bedroom,1380,7.0,2.0,130.0
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,940,2.0,1.0,40.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1020,2.0,1.0,29.45
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,2500,6.0,0.0,81.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1400,2.0,2.0,45.0
Built-up  Area,Ready To Move,HAL Layout,3 BHK,1675,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,708,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1123,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1100,2.0,1.0,49.49
Super built-up  Area,Ready To Move,Upkar Layout,2 BHK,1225,2.0,2.0,71.05
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1683,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,410,1.0,1.0,15.0
Plot  Area,Ready To Move,Kenchenhalli,4 Bedroom,1350,4.0,1.0,90.0
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,1475,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1120,2.0,2.0,49.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1150,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1165,2.0,1.0,85.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1756,3.0,2.0,134.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1409,2.0,2.0,95.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1212,2.0,1.0,56.9
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1140,2.0,2.0,26.49
Super built-up  Area,19-Sep,Hegde Nagar,3 BHK,2087.01,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,750 - 800,1.0,0.0,34.1
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,1700,3.0,1.0,118.0
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,1660 - 1805,3.0,0.0,91.855
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1110,2.0,1.0,52.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1000,2.0,1.0,28.88
Plot  Area,Ready To Move,Marathahalli,7 Bedroom,1550,7.0,3.0,160.0
Built-up  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2704,5.0,0.0,105.0
Plot  Area,Ready To Move,Hormavu,5 Bedroom,1600,5.0,2.0,140.0
Super built-up  Area,19-Dec,Bhoganhalli,2 BHK,1205,2.0,2.0,64.47
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2.0,2.0,105.0
Built-up  Area,Ready To Move,Ardendale,3 BHK,1650,3.0,3.0,82.0
Plot  Area,Ready To Move,MS Pallya,7 Bedroom,1200,7.0,2.0,139.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2.0,1.0,38.0
Built-up  Area,Ready To Move,Dasanapura,4 Bedroom,2400,5.0,2.0,100.0
Built-up  Area,Ready To Move,Singapura Village,2 BHK,850,2.0,0.0,34.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1580,3.0,1.0,83.74
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2.0,1.0,84.03
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,381,1.0,1.0,28.0
Built-up  Area,18-Feb,KR Puram,9 BHK,4600,9.0,2.0,200.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1040,2.0,1.0,55.0
Built-up  Area,18-Apr,Choodasandra,4 Bedroom,2429,3.0,1.0,210.0
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,1260,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1498,3.0,2.0,74.9
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,1200,2.0,2.0,65.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2.0,1.0,72.9
Built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,1450,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1860,3.0,2.0,168.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1240,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1300,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1950,4.0,2.0,120.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1625,2.0,2.0,145.0
Super built-up  Area,18-Jul,Electronic City,2 BHK,1200,2.0,2.0,30.0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1101,2.0,2.0,66.0
Super built-up  Area,18-Mar,Whitefield,2 BHK,1216,2.0,1.0,72.5
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1250,2.0,3.0,50.0
Plot  Area,Ready To Move,Samethanahalli,3 Bedroom,2100,3.0,0.0,70.0
Built-up  Area,Ready To Move,Ananth Nagar,3 BHK,1470,3.0,2.0,54.0
Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,1365,3.0,1.0,76.18
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1364,2.0,1.0,64.79
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,1180,2.0,1.0,59.47
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1800,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1350,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1573,3.0,2.0,98.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,1620,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1072,2.0,1.0,42.87
Built-up  Area,Ready To Move,Bagalakunte,1 BHK,560,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,1156,2.0,2.0,46.0
Built-up  Area,18-Dec,Kudlu Gate,2 BHK,1336,2.0,1.0,86.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1200,2.0,1.0,20.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1608,3.0,3.0,54.51
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1215,2.0,2.0,40.0
Built-up  Area,Ready To Move,Cox Town,2 BHK,1100,2.0,1.0,166.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1517,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,1565,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2025,4.0,2.0,115.0
Super built-up  Area,19-Jun,Jalahalli,2 BHK,1057,2.0,1.0,34.71
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1044,2.0,2.0,34.0
Built-up  Area,Ready To Move,Domlur,3 BHK,1695,3.0,2.0,125.0
Super built-up  Area,18-Jun,Ramagondanahalli,3 BHK,1635,3.0,1.0,61.0
Super built-up  Area,Ready To Move,Hiremath Layout,2 BHK,1140,2.0,2.0,56.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2.0,2.0,35.0
Built-up  Area,Ready To Move,Yelachenahalli,2 BHK,1110,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1163,2.0,2.0,64.08
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,1418,2.0,2.0,65.0
Built-up  Area,18-Apr,Varthur,2 BHK,1155,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1115,2.0,2.0,78.0
Built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2250,3.0,2.0,180.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2.0,2.0,48.45
Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,1485,3.0,2.0,78.0
Plot  Area,Ready To Move,Shingapura,1 Bedroom,1350,2.0,0.0,45.0
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,1209,2.0,2.0,100.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089,2.0,1.0,43.55
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1445,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1250,2.0,2.0,50.0
Super built-up  Area,18-Jan,SHANTHINAGAR,3 BHK,1500,3.0,1.0,95.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1705,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,2200,3.0,2.0,160.0
Plot  Area,Ready To Move,Laggere,8 Bedroom,1800,8.0,1.0,110.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1830,3.0,2.0,90.0
Super built-up  Area,18-Dec,Electronics City Phase 1,3 BHK,1450,3.0,2.0,58.0
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1220,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1259,2.0,2.0,69.45
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1260,2.0,1.0,73.0
Built-up  Area,Ready To Move,Kaggadasapura,3 Bedroom,2500,5.0,1.0,120.0
Built-up  Area,18-Dec,Kudlu Gate,3 BHK,1919,3.0,2.0,121.0
Plot  Area,Ready To Move,Vishveshwarya Layout,6 Bedroom,1400,6.0,3.0,160.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2050,3.0,2.0,120.0
Built-up  Area,Ready To Move,Basavangudi,2 BHK,1050,2.0,1.0,103.0
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,1000,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1640,3.0,1.0,86.8
Built-up  Area,Ready To Move,Kumarapalli,3 BHK,1488,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1265,2.0,2.0,53.12
Built-up  Area,Ready To Move,Hennur,3 BHK,1640,3.0,2.0,120.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1719.3,2.0,2.0,88.0
Plot  Area,Ready To Move,Someshwara Layout,4 Bedroom,1200,4.0,2.0,130.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1180,2.0,2.0,70.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,1700,3.0,1.0,110.0
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,1464,3.0,3.0,56.0
Built-up  Area,Ready To Move,JP Nagar,6 Bedroom,1800,6.0,0.0,68.0
Built-up  Area,15-Aug,Yelahanka,2 BHK,1225,2.0,2.0,62.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2.0,0.0,68.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3.0,3.0,120.0
Built-up  Area,Ready To Move,Doopanahalli,3 BHK,2250,3.0,2.0,199.0
Plot  Area,Ready To Move,Jalahalli,8 Bedroom,1244,6.0,2.0,130.0
Plot  Area,Ready To Move,Jay an agar 4 T Block,4 Bedroom,750,4.0,2.0,120.0
Super built-up  Area,18-Apr,Satyasaibaba Layout,2 BHK,1190,2.0,3.0,42.25
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,765,2.0,1.0,37.49
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,730,1.0,2.0,52.0
Built-up  Area,Ready To Move,Queens Road,3 BHK,1405,3.0,0.0,169.0
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,1350,3.0,1.0,45.9
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,500,1.0,1.0,18.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,1200,2.0,2.0,55.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1165,2.0,1.0,33.64
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2.0,2.0,57.0
Built-up  Area,Ready To Move,Hormavu,3 BHK,1668,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Kenchenahalli,1 BHK,700,1.0,1.0,35.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1485,2.0,1.0,66.0
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,700,2.0,1.0,41.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,1346,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Bellari Road,2 BHK,1050,2.0,1.0,43.5
Super built-up  Area,Ready To Move,1st Block Koramangala,3 BHK,1800,3.0,2.0,53.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1609,3.0,3.0,115.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,35.0
Built-up  Area,Ready To Move,Kudlu,2 BHK,1076,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1052,2.0,2.0,51.0
Super built-up  Area,18-Apr,Channasandra,2 BHK,1000,2.0,2.0,35.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,1000,2.0,1.0,28.88
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1262,2.0,1.0,83.0
Plot  Area,Ready To Move,Koppa,3 Bedroom,720,3.0,1.0,48.0
Super built-up  Area,Ready To Move,Harsha Layout,1 BHK,500,1.0,1.0,16.0
Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,1600,3.0,2.0,180.0
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,1251,2.0,1.0,53.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,1050,3.0,1.0,175.0
Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,1140,2.0,2.0,49.0
Super built-up  Area,18-May,Old Madras Road,2 BHK,1157,2.0,2.0,47.32
Super built-up  Area,18-Jun,RR Nagar,1 BHK,648,1.0,1.0,34.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1197,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1500,3.0,3.0,51.04
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1185,2.0,1.0,51.15
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,2400,2.0,1.0,125.0
Super built-up  Area,18-Aug,Kundalahalli,3 BHK,1397,3.0,3.0,105.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1175,2.0,2.0,47.0
Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,900,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,2710,3.0,2.0,170.0
